漢字,羅馬字
二十,jī-tsa̍p
第二十,tē-jī-tsa̍p
二十一,jī-tsa̍p-it
第二十一,tē-jī-tsa̍p-it
二十二,jī-tsa̍p-jī
第二十二,tē-jī-tsa̍p-jī
二十三,jī-tsa̍p-sann
第二十三,tē-jī-tsa̍p-sann
二十四,jī-tsa̍p-sì
第二十四,tē-jī-tsa̍p-sì
二十五,jī-tsa̍p-gōo
第二十五,tē-jī-tsa̍p-gōo
二十六,jī-tsa̍p-la̍k
第二十六,tē-jī-tsa̍p-la̍k
二十七,jī-tsa̍p-tshit
第二十七,tē-jī-tsa̍p-tshit
二十八,jī-tsa̍p-peh
第二十八,tē-lī-tsa̍p-pueh
二十九,jī-tsa̍p-káu
第二十九,tē-jī-tsa̍p-káu
三十,sann-tsa̍p
第三十,tē-sann-tsa̍p
三十一,sann-tsa̍p-it
第三十一,tē-sann-tsa̍p-it
三十二,sann-tsa̍p-jī
第三十二,tē-sann-tsa̍p-jī
三十三,sann-tsa̍p-sann
第三十三,tē-sann-tsa̍p-sann
三十四,sann-tsa̍p-sì
第三十四,tē-sann-tsa̍p-sì
三十五,sann-tsa̍p-gōo
第三十五,tē-sann-tsa̍p-gōo
三十六,sann-tsa̍p-la̍k
第三十六,tē-sann-tsa̍p-la̍k
三十七,sann-tsa̍p-tshit
第三十七,tē-sann-tsa̍p-tshit
三十八,sann-tsa̍p-pueh
第三十八,tē-sann-tsa̍p-peh
三十九,sann-tsa̍p-káu
第三十九,tē-sann-tsa̍p-káu
四十,sì-tsa̍p
第四十,tē-sì-tsa̍p
四十一,sì-tsa̍p-it
第四十一,tē-sì-tsa̍p-it
四十二,sì-tsa̍p-jī
第四十二,tē-sì-tsa̍p-jī
四十三,sì-tsa̍p-sann
第四十三,tē-sì-tsa̍p-sann
四十四,sì-tsa̍p-sì
第四十四,tē-sì-tsa̍p-sì
四十五,sì-tsa̍p-gōo
第四十五,tē-sì-tsa̍p-gōo
四十六,sì-tsa̍p-la̍k
第四十六,tē-sì-tsa̍p-la̍k
四十七,sì-tsa̍p-tshit
第四十七,tē-sì-tsa̍p-tshit
四十八,sì-tsa̍p-peh
第四十八,tē-sì-tsa̍p-peh
四十九,sì-tsa̍p-káu
第四十九,tē-sì-tsa̍p-káu
五十,gōo-tsa̍p
第五十,tē-gōo-tsa̍p
五十一,gōo-tsa̍p-it
第五十一,tē-gōo-tsa̍p-it
五十二,gōo-tsa̍p-jī
第五十二,tē-gōo-tsa̍p-jī
五十三,gōo-tsa̍p-sann
第五十三,tē-gōo-tsa̍p-sann
五十四,gōo-tsa̍p-sì
第五十四,tē-gōo-tsa̍p-sì
五十五,gōo-tsa̍p-gōo
第五十五,tē-gōo-tsa̍p-gōo
五十六,gōo-tsa̍p-la̍k
第五十六,tē-gōo-tsa̍p-la̍k
五十七,gōo-tsa̍p-tshit
第五十七,tē-gōo-tsa̍p-tshit
五十八,gōo-tsa̍p-peh
第五十八,tē-gōo-tsa̍p-peh
五十九,gōo-tsa̍p-káu
第五十九,tē-gōo-tsa̍p-káu
六十,la̍k-tsa̍p
第六十,tē-la̍k-tsa̍p
六十一,la̍k-tsa̍p-it
第六十一,tē-la̍k-tsa̍p-it
六十二,la̍k-tsa̍p-jī
第六十二,tē-la̍k-tsa̍p-jī
六十三,la̍k-tsa̍p-sann
第六十三,tē-la̍k-tsa̍p-sann
六十四,la̍k-tsa̍p-sì
第六十四,tē-la̍k-tsa̍p-sì
六十五,la̍k-tsa̍p-gōo
第六十五,tē-la̍k-tsa̍p-gōo
六十六,la̍k-tsa̍p-la̍k
第六十六,tē-la̍k-tsa̍p-la̍k
六十七,la̍k-tsa̍p-tshit
第六十七,tē-la̍k-tsa̍p-tshit
六十八,la̍k-tsa̍p-peh
第六十八,tē-la̍k-tsa̍p-peh
六十九,la̍k-tsa̍p-káu
第六十九,tē-la̍k-tsa̍p-káu
七十,tshit-tsa̍p
第七十,tē-tshit-tsa̍p
七十一,tshit-tsa̍p-it
第七十一,tē-tshit-tsa̍p-it
七十二,tshit-tsa̍p-jī
第七十二,tē-tshit-tsa̍p-jī
七十三,tshit-tsa̍p-sann
第七十三,tē-tshit-tsa̍p-sann
七十四,tshit-tsa̍p-sì
第七十四,tē-tshit-tsa̍p-sì
七十五,tshit-tsa̍p-gōo
第七十五,tē-tshit-tsa̍p-gōo
七十六,tshit-tsa̍p-la̍k
第七十六,tē-tshit-tsa̍p-la̍k
七十七,tshit-tsa̍p-tshit
第七十七,tē-tshit-tsa̍p-tshit
七十八,tshit-tsa̍p-pueh
第七十八,tē-tshit-tsa̍p-peh
七十九,tshit-tsa̍p-káu
第七十九,tē-tshit-tsa̍p-káu
八十,peh-tsa̍p
第八十,tē-peh-tsa̍p
八十一,peh-tsa̍p-it
第八十一,tē-peh-tsa̍p-it
八十二,peh-tsa̍p-jī
第八十二,tē-peh-tsa̍p-jī
八十三,peh-tsa̍p-sann
第八十三,tē-peh-tsa̍p-sann
八十四,peh-tsa̍p-sì
第八十四,tē-peh-tsa̍p-sì
八十五,pueh-tsa̍p-gōo
第八十五,tē-peh-tsa̍p-gōo
八十六,peh-tsa̍p-la̍k
第八十六,tē-peh-tsa̍p-la̍k
八十七,peh-tsa̍p-tshit
第八十七,tē-peh-tsa̍p-tshit
八十八,peh-tsa̍p-peh
第八十八,tē-peh-tsa̍p-peh
八十九,peh-tsa̍p-káu
第八十九,tē-peh-tsa̍p-káu
九十,káu-tsa̍p
第九十,tē-káu-tsa̍p
九十一,káu-tsa̍p-it
第九十一,tē-káu-tsa̍p-it
九十二,káu-tsa̍p-jī
第九十二,tē-káu-tsa̍p-jī
九十三,káu-tsa̍p-sann
第九十三,tē-káu-tsa̍p-sann
九十四,káu-tsa̍p-sì
第九十四,tē-káu-tsa̍p-sì
九十五,káu-tsa̍p-gōo
第九十五,tē-káu-tsa̍p-gōo
九十六,káu-tsa̍p-la̍k
第九十六,tē-káu-tsa̍p-la̍k
九十七,káu-tsa̍p-tshit
第九十七,tē-káu-tsa̍p-tshit
九十八,káu-tsa̍p-peh
第九十八,tē-káu-tsa̍p-peh
九十九,káu-tsa̍p-káu
第九十九,tē-káu-tsa̍p-káu
一百,tsi̍t-pah
第一百,tē-tsi̍t-pah
兩百,nn̄g-pah
第兩百,tē-nn̄g-pah
三百,sann-pah
第三百,tē-sann-pah
